prediction_covid_topic,title,description,authors,date_download,maintext,url,gdelt_title,gdelt_url,date_publish,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,China regista sete novos casos nas últimas 24 horas,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-13 09:15:17,"Covid-19
A China identificou, nas últimas 24 horas, seis novos casos de contágio local pelo novo coronavírus, no nordeste do país, e um oriundo do exterior, detetado em Xangai, informaram as autoridades do país asiático.
Segundo a Comissão Nacional de Saúde da China, os seis casos de contágio local foram diagnosticados na província de Jilin, que faz fronteira com a Rússia e a Coreia do Norte, e onde na última semana foram detetados cerca de trinta casos.
As províncias de Jilin e Heilongjiang registaram um aumento repentino de casos, nas últimas semanas, devido à chegada de chineses infetados com a doença vindos da Rússia, segundo as autoridades.",http://www.destak.pt/artigo/420589-china-regista-sete-novos-casos-nas-ultimas-24-horas,Destak . pt | Covid - 19 : China regista sete novos casos nas últimas 24 horas,http://www.destak.pt/artigo/420589-china-regista-sete-novos-casos-nas-ultimas-24-horas,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-13T04:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
A China identificou, nas últimas 24 horas, seis novos casos de contágio local pelo novo coronavírus, no nordeste do país, e um oriundo do exterior, detetado em Xangai, informaram as autoridades do país asiático.
Segundo a Comissão Nacional de Saúde da China, os seis casos de contágio local foram diagnosticados na província de Jilin, que faz fronteira com a Rússia e a Coreia do Norte, e onde na última semana foram detetados cerca de trinta casos.
As províncias de Jilin e Heilongjiang registaram um aumento repentino de casos, nas últimas semanas, devido à chegada de chineses infetados com a doença vindos da Rússia, segundo as autoridades.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Pandemia pode matar indiretamente seis mil crianças por dia - Unicef,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-05-13 09:15:21,"Covid-19
A luta contra a covid-19 pode vir a provocar a morte de seis mil crianças por dia nos países mais pobres, nos próximos seis meses, vítimas colaterais da sobrecarga dos sistemas de saúde, alertou hoje a Unicef.
Os números do Fundo das Nações Unidas para a Infância baseiam-se num estudo da universidade norte-americana Johns Hopkins, citada num comunicado da organização humanitária.
Segundo o pior de três cenários analisados no estudo, nos próximos seis meses poderão morrer até 1,2 milhões de crianças em 118 países, por causa de cuidados sanitários deficientes, provocados pela luta contra a propagação do novo coronavírus, explicou a agência da ONU em comunicado.",http://www.destak.pt/artigo/420585-pandemia-pode-matar-indiretamente-seis-mil-criancas-por-dia-unicef,Destak . pt | Covid - 19 : Pandemia pode matar indiretamente seis mil crianças por dia,http://www.destak.pt/artigo/420585-pandemia-pode-matar-indiretamente-seis-mil-criancas-por-dia-unicef,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-05-13T04:15:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
A luta contra a covid-19 pode vir a provocar a morte de seis mil crianças por dia nos países mais pobres, nos próximos seis meses, vítimas colaterais da sobrecarga dos sistemas de saúde, alertou hoje a Unicef.
Os números do Fundo das Nações Unidas para a Infância baseiam-se num estudo da universidade norte-americana Johns Hopkins, citada num comunicado da organização humanitária.
Segundo o pior de três cenários analisados no estudo, nos próximos seis meses poderão morrer até 1,2 milhões de crianças em 118 países, por causa de cuidados sanitários deficientes, provocados pela luta contra a propagação do novo coronavírus, explicou a agência da ONU em comunicado.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,"Broadway, bairro de espetáculos de Nova Iorque, fechado até setembro","Os teatros da Broadway, em Nova Iorque, permanecerão fechados pelo menos até 6 de setembro, devido à pandemia causada pelo novo coronavírus.",Agência Lusa,2020-05-13 09:15:30,"A Santa Casa da Misericórdia de Lisboa contribui para que esta informação, essencial para o esclarecimento público, seja de leitura aberta e gratuita para todos Santa Casa Misericórdia de Lisboa
Os teatros da Broadway, em Nova Iorque, permanecerão fechados pelo menos até 6 de setembro, devido à pandemia causada pelo novo coronavírus (Covid-19), anunciou esta terça-feira a associação profissional Broadway League.
Sem arriscar uma data concreta para a reabertura das salas no bairro que rodeia a célebre Times Square, a presidente da Broadway League, Charlotte St. Martin, indica, em comunicado, que está a trabalhar com sindicatos, responsáveis políticos e autoridades sanitárias “para determinar a forma mais segura de reiniciar” a atividade.
Por cada semana de encerramento, a Broadway perde mais de 30 milhões de dólares de receita (27,7 milhões de euros).
No momento da suspensão de ajuntamentos, decidida pelo governador de Nova Iorque, Andrew Cuomo, a 12 de março, a Broadway tinha em cena 31 espetáculos e oito outros tinham estreia prevista para a primavera.
Nunca a Broadway esteve encerrada tanto tempo desde que foi erguida, no final do século XIX.
Outros reputados teatros nos Estados Unidos — país que lidera a tabela de mortes e infeções por Covid-19 — já anunciaram o adiamento da programação para 2021.",https://observador.pt/2020/05/13/broadway-bairro-de-espetaculos-de-nova-iorque-fechado-ate-setembro/,"Broadway , bairro de espetáculos de Nova Iorque , fechado até setembro",https://observador.pt/2020/05/13/broadway-bairro-de-espetaculos-de-nova-iorque-fechado-ate-setembro/,2020-05-13 06:15:00,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,https://observador.pt/2020/05/13/broadway-bairro-de-espetaculos-de-nova-iorque-fechado-ate-setembro/amp/,2020-05-13T03:45:00Z,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2F770x403%2Cq80%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2020%2F05%2F12234616%2F85525007_770x433_acf_cropped.jpg,observador.pt,Portuguese,Portugal,"A Santa Casa da Misericórdia de Lisboa contribui para que esta informação, essencial para o esclarecimento público, seja de leitura aberta e gratuita para todos Santa Casa Misericórdia de Lisboa
Os teatros da Broadway, em Nova Iorque, permanecerão fechados pelo menos até 6 de setembro, devido à pandemia causada pelo novo coronavírus (Covid-19), anunciou esta terça-feira a associação profissional Broadway League.
Sem arriscar uma data concreta para a reabertura das salas no bairro que rodeia a célebre Times Square, a presidente da Broadway League, Charlotte St. Martin, indica, em comunicado, que está a trabalhar com sindicatos, responsáveis políticos e autoridades sanitárias “para determinar a forma mais segura de reiniciar” a atividade.
Por cada semana de encerramento, a Broadway perde mais de 30 milhões de dólares de receita (27,7 milhões de euros).
No momento da suspensão de ajuntamentos, decidida pelo governador de Nova Iorque, Andrew Cuomo, a 12 de março, a Broadway tinha em cena 31 espetáculos e oito outros tinham estreia prevista para a primavera.
Nunca a Broadway esteve encerrada tanto tempo desde que foi erguida, no final do século XIX.
Outros reputados teatros nos Estados Unidos — país que lidera a tabela de mortes e infeções por Covid-19 — já anunciaram o adiamento da programação para 2021.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
